username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"KC Miller",KCMillerEDU,2018-03-01 06:22,81,135,"Shame on the Senate GOP for blocking new gun control initiatives. We the students will not forget this when we march into the polls the November. #StudentsStandUp #NeverAgain #VoteThemOuthttps://nypost.com/2018/02/28/senate-gop-blocks-dems-push-for-new-gun-control-measures/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons …",,,#StudentsStandUp #NeverAgain #VoteThemOuthttps,"969216219202179080",https://twitter.com/KCMillerEDU/status/969216219202179080
"Nick Walden Poublon",NWPinPDX,2018-03-01 06:17,52,133,"I'm gonna go ahead a guess that Walmart must have had a sale on law degrees last week. Cause every angry MAGA going berserk on #BoycottWalmart KNOWS ALL THE LEGAL STUFF AND LAWS AND THE WAY IT SHOULD BE. That'll teach Walmart to offer edumacation. #Walmart #NeverAgain #Resist",,,#BoycottWalmart #Walmart #NeverAgain #Resist,"969215030028787712",https://twitter.com/NWPinPDX/status/969215030028787712
"𝘿𝙪𝙢𝙥 𝙇𝙞𝙣𝙙𝙨𝙚𝙮 𝙂𝙧𝙖𝙝𝙖𝙢",dumptrump33,2018-03-01 05:57,42,75,"The only way we're ever going to get anything substantial done on gun safety is by voting these NRA politicians out of office. Let's do this! #FlipItBlue #BlueWave2018 #GunReformNow #NeverAgain #BanAssaultWeapons #BoycottNRAhttp://thehill.com/homenews/senate/376172-senate-gop-rejects-trumps-call-to-go-big-on-gun-legislation …",,,#FlipItBlue #BlueWave2018 #GunReformNow #NeverAgain #BanAssaultWeapons #BoycottNRAhttp,"969209978191048704",https://twitter.com/dumptrump33/status/969209978191048704
"Laurence Tribe",tribelaw,2018-03-01 05:39,18502,56524,"No guns till age 21, no bump stocks, ban AR-15s & equivalent guns, ban multi-shot clips, ban body-shredding ammo, make background checks & registration universal, use red flags & restraining orders, no guns for those on no fly list, boycott NRA, vote out its puppets. #NeverAgain!",,,#NeverAgain,"969205470186614784",https://twitter.com/tribelaw/status/969205470186614784
"Andrew Gillum",AndrewGillum,2018-03-01 05:38,39,175,"Student voices are making the difference today & they’re going to make the difference in November too! #StudentsStandUp #NeverAgain",,,#StudentsStandUp #NeverAgain,"969205241559306241",https://twitter.com/AndrewGillum/status/969205241559306241
"Lara Cohen",lrc7970,2018-03-01 05:33,48,166,"@se4realhinton @mishacollins They say the more people who call the more likely they are to drop it #BoycottNRA #NeverAgain pic.twitter.com/SEfWgVmCoO",,@se4realhinton @mishacollins,#BoycottNRA #NeverAgain,"969204004403195904",https://twitter.com/lrc7970/status/969204004403195904
"Rey 🕊🇺🇸 #NeedToImpeach",1Jedi_Rey,2018-03-01 05:26,366,374,"Today= #March1NRABoycott Don't Shop: @amazon @Apple @BassProShops @Cabelas @MidwayUSA @SportsmansWH Don't Stream: @PrimeVideo @YouTube @RokuPlayer @AppleTV @SIRIUSXM @Google Don't Ship: @FedEx Full List of Companies https://www.drainthenra.com/company-information-1 … #NeverAgain #GunControlNow pic.twitter.com/CmKzaHWpcE",,@amazon @Apple @BassProShops @Cabelas @MidwayUSA @SportsmansWH @PrimeVideo @YouTube @RokuPlayer @AppleTV @SIRIUSXM @Google @FedEx,#March1NRABoycott #NeverAgain #GunControlNow,"969202148859768832",https://twitter.com/1Jedi_Rey/status/969202148859768832
"Mickey_X",Mickey_X,2018-03-01 05:20,20,158,"Emma. You are simply amazing. I don't know how you do it, but you & fellow classmates have done something not seen in a generation. We are in good hands. Thank you. #NeverAgain",,,#NeverAgain,"969200628680425472",https://twitter.com/Mickey_X/status/969200628680425472
"Bruce Bourgoine",BruceBourgoine,2018-03-01 05:13,20,52,"Let us pause and bow our heads... #p2 #resist #mepolitics #neveragain #gunsense pic.twitter.com/dW76WCtSk3",,,#p2 #resist #mepolitics #neveragain #gunsense,"969199010820055040",https://twitter.com/BruceBourgoine/status/969199010820055040
"Ryan Deitsch",Ryan_Deitsch,2018-03-01 05:07,14,71,"Top right is the marksmanship portion of the beauty pageant. #NeverAgain https://twitter.com/ap_images/status/968938936973365255 …",,,#NeverAgain,"969197536027299842",https://twitter.com/Ryan_Deitsch/status/969197536027299842
