username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"The Root",TheRoot,2018-05-19 05:02,20,200,"Reminder: Knowing someone does not automatically grant you an invitation to their wedding. https://trib.al/QiWMnJq #RoyalWedding #HarryAndMeghan pic.twitter.com/jSd3uXKl1c",,,#RoyalWedding #HarryAndMeghan,"997809648144183296",https://twitter.com/TheRoot/status/997809648144183296
"Falkland Islands",falklands_utd,2018-05-19 05:02,67,510,"Congratulations #HarryandMeghan from the #Falklands! #RoyalWedding2018",,,#HarryandMeghan #Falklands #RoyalWedding2018,"997809598341046273",https://twitter.com/falklands_utd/status/997809598341046273
"Daily Monitor",DailyMonitor,2018-05-19 05:01,34,118,"Harry's ex-girlfriends Chelsy Davy and Cressida Bonas were also among the guests, along with singer James Blunt, US talkshow host James Corden and Markle's former co-stars from US television series Suits #RoyalWedding #HarryandMeghan #MonitorUpdates pic.twitter.com/RfouIcLCgL",,,#RoyalWedding #HarryandMeghan #MonitorUpdates,"997809514907885568",https://twitter.com/DailyMonitor/status/997809514907885568
"Bansi Kara FCCT",benniekara,2018-05-19 05:00,19,93,"I hope lots of kids from diverse backgrounds are watching a young black boy play the cello in front of millions. Inspiring. #RoyalWedding #HarryandMeghan",,,#RoyalWedding #HarryandMeghan,"997809254424895488",https://twitter.com/benniekara/status/997809254424895488
"Lotus",Lotus,2018-05-19 05:00,62,131,"That face you make when your ex boyfriend is marrying Meghan Markle and he invited you to watch #ouch #HarryandMeghan #royalwedding #RoyalWedding2018 pic.twitter.com/N5KSHwvQK4",,,#ouch #HarryandMeghan #royalwedding #RoyalWedding2018,"997809208325263362",https://twitter.com/Lotus/status/997809208325263362
"⚡erena",_itsmeserena,2018-05-19 05:00,28,148,"The coolest man on the planet #RoyalWedding #harryandmeghan pic.twitter.com/gVnXCevqg1",,,#RoyalWedding #harryandmeghan,"997809159587487744",https://twitter.com/_itsmeserena/status/997809159587487744
"BBC",BBC,2018-05-19 04:59,3597,12774,"From winning @BBCYoungMus in 2016 to playing at the #RoyalWedding in 2018, cellist @ShekuKM performs for the guests. #HarryAndMeghan pic.twitter.com/TfxsivUbVx",,@BBCYoungMus @ShekuKM,#RoyalWedding #HarryAndMeghan,"997808931144515584",https://twitter.com/BBC/status/997808931144515584
"JAMES GRIFFIN IS PRECIOUS",shirocamehome,2018-05-19 04:58,296,1856,"I'd like to believe that the seat next to Prince William is for Princess Diana #RoyalWedding #HarryandMeghan pic.twitter.com/h8hhpIiFW0",,,#RoyalWedding #HarryandMeghan,"997808759383584768",https://twitter.com/shirocamehome/status/997808759383584768
"Sky News",SkyNews,2018-05-19 04:58,381,853,"#HarryandMeghan have said their vows. The new Duke and Duchess of Sussex leave the front of the church to sign the marriage register #royalwedding pic.twitter.com/gyxGYLD7sz",,,#HarryandMeghan #royalwedding,"997808692174110721",https://twitter.com/SkyNews/status/997808692174110721
"Ingrid Seward",RoyalBiographer,2018-05-19 04:58,26,140,"This photo says it all #RoyalWedding #RoyalWedding2018 #DukeandDuchessofSussex #HarryandMeghan pic.twitter.com/Tyh2inIPKP",,,#RoyalWedding #RoyalWedding2018 #DukeandDuchessofSussex #HarryandMeghan,"997808617255555074",https://twitter.com/RoyalBiographer/status/997808617255555074
