username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Edward Parker",edparker1965,2018-04-11 02:09,10,25,"Getting ready to launch the Walk of America @supportthewalk @Stand4Heroes #herewegoagain #princeharry pic.twitter.com/uxS5TiI72O",,@supportthewalk @Stand4Heroes,#herewegoagain #princeharry,"983995423282139142",https://twitter.com/edparker1965/status/983995423282139142
"WWTW",supportthewalk,2018-04-11 00:00,23,47,"Later today Prince Harry will be officially launching Walking With The Wounded's latest expedition, the #WalkOfAmerica. Stay tuned for LIVE updates from today's launch event. #WhyIWalk #SupportTheWalk #Veterans #Expedition #PrinceHarry pic.twitter.com/rF8O72aUDr",,,#WalkOfAmerica #WhyIWalk #SupportTheWalk #Veterans #Expedition #PrinceHarry,"983962859339177989",https://twitter.com/supportthewalk/status/983962859339177989
"StreetGames",StreetGames,2018-04-10 05:30,13,39,"Have you heard?! StreetGames has been named as one of 7 charities to benefit from public generosity surrounding the upcoming #RoyalWedding! Thank you #PrinceHarry and #MeghanMarkle for selecting StreetGames! http://www.streetgames.org pic.twitter.com/1k7bf8dgOZ",,,#RoyalWedding #PrinceHarry #MeghanMarkle,"983683560333824000",https://twitter.com/StreetGames/status/983683560333824000
"Dickie Arbiter",RoyalDickie,2018-04-10 05:10,10,34,"#CHOGM2018 Thursday 19 April #TheQueen will be joined by #ThePrinceofWales, The #DukeofCambridge, #PrinceHarry and other members of the family at Buckingham Palace for the formal opening of @Commonwealth18 and dinner at which #TheQueen will formally welcome government leaders pic.twitter.com/XFiNqnCWyF",,@Commonwealth18,#CHOGM2018 #TheQueen #ThePrinceofWales #DukeofCambridge #PrinceHarry #TheQueen,"983678686678437888",https://twitter.com/RoyalDickie/status/983678686678437888
"The Royal Chef",DarrenMcGrady,2018-04-09 13:34,100,213,"Loving all the #PrinceHarry and #MeghanMarkle #RoyalWedding2018 memorabilia. Just think some companies should do a little more research first pic.twitter.com/jgF2buhfY5",,,#PrinceHarry #MeghanMarkle #RoyalWedding2018,"983443000415211520",https://twitter.com/DarrenMcGrady/status/983443000415211520
"Majesty/Joe Little",MajestyMagazine,2018-04-09 09:15,12,33,"Collector's Edition: Our 84-page pre-wedding May issue will be sent to subscribers on Friday, 13 April. Online from 17 April https://pocketmags.com/majesty-magazine …; on sale in the UK from 19 April. #PrinceHarry #MeghanMarkle #RoyalWedding To purchase copies: http://shop.majestymagazine.com/shop.php?cat_id=5 … pic.twitter.com/BXIFAHDEbr",,,#PrinceHarry #MeghanMarkle #RoyalWedding,"983377750898585600",https://twitter.com/MajestyMagazine/status/983377750898585600
"Dickie Arbiter",RoyalDickie,2018-04-09 05:48,21,60,"#PrinceHarry and #MeghanMarkle have asked for no wedding gifts but instead donations to seven personally selected charities they'd like to support @crisis_uk @chivaprojects @MynaMahila #ScottysLittleSoldiers @StreetGames @SAScampaign & @WildernessUK - now that's class and style pic.twitter.com/74GL8vfnIX",,@crisis_uk @chivaprojects @MynaMahila @StreetGames @SAScampaign @WildernessUK,#PrinceHarry #MeghanMarkle #ScottysLittleSoldiers,"983325772038492160",https://twitter.com/RoyalDickie/status/983325772038492160
"StreetGames",StreetGames,2018-04-09 04:44,10,25,"The couple have asked that anyone wishing to offer a wedding gift instead considers giving to one of these specially selected charities – so that as many people as possible may benefit from such kindness! (2/3) http://www.streetgames.org #PrinceHarry #MeghanMarkle @KensingtonRoyal pic.twitter.com/sNAqQLxh4a",,@KensingtonRoyal,#PrinceHarry #MeghanMarkle,"983309629399629824",https://twitter.com/StreetGames/status/983309629399629824
"StreetGames",StreetGames,2018-04-09 04:42,118,376,"StreetGames is deeply honoured to have been named as one of 7 charities personally selected by HRH #PrinceHarry and Ms. #MeghanMarkle to benefit from the public generosity surrounding the upcoming #RoyalWedding! (1/3) @KensingtonRoyal http://www.streetgames.org pic.twitter.com/IOzJzxEy5Z",,@KensingtonRoyal,#PrinceHarry #MeghanMarkle #RoyalWedding,"983309212817215488",https://twitter.com/StreetGames/status/983309212817215488
"Rebecca English",RE_DailyMail,2018-04-09 04:22,24,126,"This is #PrinceHarry and #MeghanMarkle at a @StreetGames event in Wales - the charity is set to benefit hugely from a share of donations given to the couple in lieu of wedding presents, it seems..... pic.twitter.com/LFvC8VouKK",,@StreetGames,#PrinceHarry #MeghanMarkle,"983304085142110208",https://twitter.com/RE_DailyMail/status/983304085142110208
