username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Ramona P Brumfield",B1FORJUSTICE,2018-06-01 07:37,45,209,"I #wearorange because I am a mom, aunt, & mentor. My sister is a school counselor. We have lost love one's due to gun violence. My team will see you tomorrow @MomsDemand in Collin County. #gunsense #GunReformNow #GunControlNow #GunControl pic.twitter.com/CkmDDnuaSK",,@MomsDemand,#wearorange #gunsense #GunReformNow #GunControlNow #GunControl,"1002559750033174528",https://twitter.com/B1FORJUSTICE/status/1002559750033174528
"Ravinder S. Bhalla",RaviBhalla,2018-05-31 18:59,13,95,"Always proud to support @MomsDemand and @HobokenEmily in ending gun violence in our country. #GunControlNow pic.twitter.com/0lXCaSYyAQ",,@MomsDemand @HobokenEmily,#GunControlNow,"1002369012519579650",https://twitter.com/RaviBhalla/status/1002369012519579650
"Chris Clements",ilikepaste,2018-05-31 02:35,35,61,"2:30am. Can’t sleep. F it. #FBRparty Like Retweet Follow Party - and get followed #GunControlNow",,,#FBRparty #GunControlNow,"1002121460163330048",https://twitter.com/ilikepaste/status/1002121460163330048
"Baba Kofi Seti I",Uab_BabaKofi,2018-05-30 07:26,34,53,"Dick's skyrockets as sales rise despite gun restrictions #DemForce It's profitable to do the right thing. #MSDStrong @davidhogg111 @Emma4Change #NeverAgain #GunControlNow https://cnb.cx/2L9bU6N",,@davidhogg111 @Emma4Change,#DemForce #MSDStrong #NeverAgain #GunControlNow,"1001832306011725826",https://twitter.com/Uab_BabaKofi/status/1001832306011725826
"Buzz Masters",bmastersc,2018-05-29 19:55,27,158,"Don't worry. We can get the kids to school, call our MOC about #DACA #GunControlNow, #NoGagRule,& #PuertoRico, shop for groceries, enjoy the power of collective, vocal protest, get the kids to practice, and VOTE all at the same time because WE CAN MULTITASK! We are focused.",,,#DACA #GunControlNow #NoGagRule #PuertoRico,"1001658296913350656",https://twitter.com/bmastersc/status/1001658296913350656
"Jooyoung Lee🥋",theyoungjoo,2018-05-29 15:36,6,43,"I’ll be on @CBCNews tonight at 6 talking about guns & gun violence in Toronto. Spoke about how social network analysis can inform our responses to shootings. #Sociology #GunControlNow #gunviolence @SocResearchUT @munkschool @UofTNews @CSUSUofT pic.twitter.com/vd5cvQSDiX",,@CBCNews @SocResearchUT @munkschool @UofTNews @CSUSUofT,#Sociology #GunControlNow #gunviolence,"1001593190925778944",https://twitter.com/theyoungjoo/status/1001593190925778944
"Joe M",StormIsUponUs,2018-05-29 13:36,12,25,"David Hogg EXPOSED. Based on newly released NRA data, we have determined that #DavidHogg must be secretly working for the #NRA. #GunReformNow #GunControlNow pic.twitter.com/LhtwqwvVVy",,,#DavidHogg #NRA #GunReformNow #GunControlNow,"1001562991895220225",https://twitter.com/StormIsUponUs/status/1001562991895220225
"Right Side Of History 🇺🇸 🏳️‍🌈 ✊🏼",RRN3,2018-05-29 10:11,32,52,"What about #PuertoRico? What about #GunControlNow? What about #SaveACA? Why do we move on to the next topic w/out fixing the last major call for help/change? #NeverForget #TuesdayThoughts STAY THE COURSE AMERICA! #RESIST #resistance #BlueWave2018 #FBR #VoteBlue #PleaseStandBy",,,#PuertoRico #GunControlNow #SaveACA #NeverForget #TuesdayThoughts #RESIST #resistance #BlueWave2018 #FBR #VoteBlue #PleaseStandBy,"1001511298104987648",https://twitter.com/RRN3/status/1001511298104987648
"Chocolate Harvey Milk",ChocoHarveyMilk,2018-05-28 20:10,411,782,"They are the brave. @NRA @DLoesch @GOP you are the stupid. Listen to those that protect our democracy. #BanAssaultWeapons #NeverAgain #NoRA #GunControlNow https://twitter.com/CNN/status/1001088296959737858?s=19 …",,@NRA @DLoesch @GOP,#BanAssaultWeapons #NeverAgain #NoRA #GunControlNow,"1001299792197074949",https://twitter.com/ChocoHarveyMilk/status/1001299792197074949
"Change the Ref",ChangeTheRef,2018-05-28 13:07,63,205,"Gun-loving Iceland hasn't had a shooting murder in more than a decade. For us, it would be really strange if you could get a license to buy a gun and you had no idea how to handle it. #ChangeTheRef #GunControlNow #GunReformNow https://www.nbcnews.com/news/world/iceland-gun-loving-country-no-shooting-murders-2007-n872726 … via @NBCNews",,@NBCNews,#ChangeTheRef #GunControlNow #GunReformNow,"1001193181868851200",https://twitter.com/ChangeTheRef/status/1001193181868851200
"Change the Ref",ChangeTheRef,2018-05-28 12:58,22,65,"The Fight for Their Lives. via @marieclaire #ChangeTheRef #marchofourlives #WhatIf #GunReformNow #GunControlNow #ParklandStronghttps://www.marieclaire.com/politics/a20874885/parkland-shooting-student-activists-interview-2018/ …",,@marieclaire,#ChangeTheRef #marchofourlives #WhatIf #GunReformNow #GunControlNow #ParklandStronghttps,"1001190962549411840",https://twitter.com/ChangeTheRef/status/1001190962549411840
"Matt",nosoupforgeorge,2018-05-28 10:14,8,22,"This #MemorialDay, my thoughts turn to those who died so that Americans can exercise their rights & freedoms. #EnoughIsEnough #NeverAgain #GunControlNow #GunReformNow (Also, I'm very thankful for those in the Armed Forces who have given their lives in service to our country.) pic.twitter.com/2ivSJdRaO3",,,#MemorialDay #EnoughIsEnough #NeverAgain #GunControlNow #GunReformNow,"1001149607387185152",https://twitter.com/nosoupforgeorge/status/1001149607387185152
"Betsy Brantner Smith",sgtbetsysmith,2018-05-28 10:12,9,16,"Multiple homicides in #Chicago this weekend female sergeant shot but saved by her body armor. Tell me again how #GunControlNow will stop gun violence? http://abc7chicago.com/6-killed-in-chicago-memorial-day-weekend-shootings/3526934/ …",,,#Chicago #GunControlNow,"1001149180818042880",https://twitter.com/sgtbetsysmith/status/1001149180818042880
"Change the Ref",ChangeTheRef,2018-05-28 06:39,124,376,"We #ChangeTheRef develop creative non violent activations to reduce the influence of the NRA in political campaigns. We carry Guac’s torch! Help us by donating and supporting our cause: Walls of Demands, Die-in @Publix, Reversed Town Halls #GunControlNow https://www.gofundme.com/changetheref",,@Publix,#ChangeTheRef #GunControlNow,"1001095589310976000",https://twitter.com/ChangeTheRef/status/1001095589310976000
"The Resistance Party",ResistanceParty,2018-05-27 16:55,94,158,"...place my body on the White House steps Heartbreaking thoughts on their reality from American teens. We must continue the fight for #GunControlNow #NeverAgain #IfIDieInASchoolShootinghttps://twitter.com/buzzfeednews/status/1000771863717535746 …",,,#GunControlNow #NeverAgain #IfIDieInASchoolShootinghttps,"1000888267804262400",https://twitter.com/ResistanceParty/status/1000888267804262400
"Ellen Berkowitz",pdnell,2018-05-27 12:58,4,29,"It’s hard to be positive when kids expect to be murdered in school. #guncontrolnow",,,#guncontrolnow,"1000828682414559232",https://twitter.com/pdnell/status/1000828682414559232
"Victoria Brownworth #EqualityActNow",VABVOX,2018-05-27 10:27,42,100,"All these student survivors of mass shootings are determined to vote out the @NRA sycophants. Join them. #GunControlNow https://twitter.com/ABCPolitics/status/1000397317311213568 …",,@NRA,#GunControlNow,"1000790548083544065",https://twitter.com/VABVOX/status/1000790548083544065
"Elin Hilderbrand",elinhilderbrand,2018-05-27 10:14,16,110,"There are AMERICAN PARENTS whose children lost their young and beautiful lives because they went to school and were shot dead. I’m sorry, sir, but you are worrying about the wrong people. #GunControlNow https://twitter.com/realdonaldtrump/status/1000718611688943616 …",,,#GunControlNow,"1000787370604662785",https://twitter.com/elinhilderbrand/status/1000787370604662785
"Moosie",Moosie70346820,2018-05-27 08:33,6,53,"Who’s going to give back the young and beautiful lives of all the children shot while going to school? And the 96 ppl per day that are killed by gun violence because you refuse to act? #GunControlNow #GunControlNow #EnoughIsEnough",,,#GunControlNow #GunControlNow #EnoughIsEnough,"1000761868443574277",https://twitter.com/Moosie70346820/status/1000761868443574277
"kasey elaine",kxseylandis,2018-05-26 18:30,7,29,"When an armory decides to have its grand opening with the NRA attending the day after a school shooting in our town, we band together and peacefully protest. I'm so proud of my peers. We're kids and we're going to change the world. #NoblesvilleSchoolShooting #GunControlNow pic.twitter.com/jcZtoc03Pa",,,#NoblesvilleSchoolShooting #GunControlNow,"1000549797315702787",https://twitter.com/kxseylandis/status/1000549797315702787
"National Die-In Day - Dallas",DallasDieInDay,2018-05-26 18:18,570,1314,"The Dallas @NationalDieIn will be on June 12th at Ted Cruz's North Texas office! Address: 3626 N. Hall St. Suite 410 We will be rallying at 11 and the Die In itself will be from 12-12:12 #LethalLegislation #DieIn #StudentsDemandAction #NeverAgain #GunControlNow #NoRA #txlege",,@NationalDieIn,#LethalLegislation #DieIn #StudentsDemandAction #NeverAgain #GunControlNow #NoRA #txlege,"1000546779132252161",https://twitter.com/DallasDieInDay/status/1000546779132252161
"Alex Acaro",AlexAcaroNY,2018-05-26 10:23,9,32,"This is what teachers across America should be doing for their students. They shouldn’t have to worry about a possible school shooting or how they are going to protect their students from a possible intruder. Let Teacher’s teach. #GunControlNow #Retweethttps://cnn.it/2GQ543y",,,#GunControlNow #Retweethttps,"1000427147872342016",https://twitter.com/AlexAcaroNY/status/1000427147872342016
"Bubbagirl💙🌊",bubbagump324,2018-05-26 09:52,214,369,"These babies r not animals. Donald J Trump you do not represent me w ur vile racism & deep burning hate. This is not us.We shld all b in the street kneeling 4 the children being killed at r borders & massacred in our schools. Enough #WhereAreTheChildren #GunControlNow pic.twitter.com/6mZV8NBmLi",,,#WhereAreTheChildren #GunControlNow,"1000419526268391424",https://twitter.com/bubbagump324/status/1000419526268391424
"Kristen's Kulture",paz4u,2018-05-26 09:24,14,23,"Great! Thank you Publix!!! Die In such a powerful protest! #BoycottNRA #GunControlNow https://www.washingtonpost.com/news/business/wp/2018/05/25/publix-suspends-contributions-to-adam-putnam-amid-david-hoggs-anti-nra-protests/ …",,,#BoycottNRA #GunControlNow,"1000412365328809984",https://twitter.com/paz4u/status/1000412365328809984
"Matt Barber",jmattbarber,2018-05-26 09:16,21,41,"The “progressive” Left shuts down free speech, persecutes Christians who exercise their faith, physically attacks @realDonaldTrump supporters & uses every means to silence dissent. And they expect us to give up our guns? Not a chance. #2A #2ndAmendment #NRA #GunControlNow",,@realDonaldTrump,#2A #2ndAmendment #NRA #GunControlNow,"1000410436154490880",https://twitter.com/jmattbarber/status/1000410436154490880
"Lawrence Lambert",Lawrenc26878616,2018-05-26 08:01,20,61,"This is true. The @NRA is no longer about sportsman, it's no longer about supporting its members, it's no longer about safety. It's all about lobbying for manufacturers #neveragain #GunControlNow https://twitter.com/noNRAmoney/status/1000387536231989248 …",,@NRA,#neveragain #GunControlNow,"1000391413236891649",https://twitter.com/Lawrenc26878616/status/1000391413236891649
"Grrrrr🥇GOLD",ggold1975,2018-05-26 04:55,10,12,"Evidently we’re not....1500 kids are missing...Where is the emergency outrage from @TheDemocrats...the @GOP having control is a cop out. @davidhogg111 gets more done in 10 minutes on #GunControlNow than Congress is doing on this. #WhereAreTheChildren.https://twitter.com/kamalaharris/status/1000201607156568064 …",,@TheDemocrats @GOP @davidhogg111,#GunControlNow #WhereAreTheChildren,"1000344613230694400",https://twitter.com/ggold1975/status/1000344613230694400
"Eric Lipson #BlueWave2020",lipsoneric,2018-05-25 17:51,15,31,"Proud to support @davidhogg111 and the #Parkland kids who will make change for a better America. Just transferred my scripts from @Publix to @cvspharmacy even though it was $20 more. #BoycottPublix #tweetthereceipt #NoRA #GunControlNow pic.twitter.com/p6mbcsEzXh",,@davidhogg111 @Publix @cvspharmacy,#Parkland #BoycottPublix #tweetthereceipt #NoRA #GunControlNow,"1000177570648936451",https://twitter.com/lipsoneric/status/1000177570648936451
"Dana🌹",Mama_D62,2018-05-25 17:45,37,52,"TEACHER ARMED W/NOTHING MORE THEN A BASKETBALL THINK ABOUT THAT THE GOOD GUY WAS ARMED W/A BASKETBALL SAVED LIVES TODAY #EnoughIsEnough #GunControlNow 'Hero' teacher tackled gunman, student says: 'Most people would never dare' - ABC News https://abcnews.go.com/US/hero-teacher-ran-gunman-tackled-ground-student-pretty/story?id=55446304 … (via @ABC)",,@ABC,#EnoughIsEnough #GunControlNow,"1000176037857148928",https://twitter.com/Mama_D62/status/1000176037857148928
"Kim Masters",kimmasters,2018-05-25 16:45,7,49,"Yes yes yes. Don’t let up, @davidhogg111. It’s not fair that you have to lead but you’re up to the job. #GunControlNow https://twitter.com/sunsentinel/status/1000105932725149697 …",,@davidhogg111,#GunControlNow,"1000160899548659713",https://twitter.com/kimmasters/status/1000160899548659713
"Kelli Rose 🍑",Kelli_Rose,2018-05-25 13:50,14,22,"It’s been 100 days since the #ParklandShooting It’s been 6 days since the #SantaFeHighSchool shooting Today it’s No.23 #IndianaMiddleSchool These horrific events are a result of a Gun Epidemic & Gun Culture that’s unmatched anywhere else on the planet #Enough #GunControlNow pic.twitter.com/eZdVBVDIiL",,,#ParklandShooting #SantaFeHighSchool #IndianaMiddleSchool #Enough #GunControlNow,"1000117000121733120",https://twitter.com/Kelli_Rose/status/1000117000121733120
"Donald J. Trump                      (Is An Idiot)",BiglyPrez,2018-05-25 12:17,60,149,"#BREAKING: @realDonaldTrump to address today's school shooting after tomorrow's school shooting! #MAGA #GunControlNow",,@realDonaldTrump,#BREAKING #MAGA #GunControlNow,"1000093428879888389",https://twitter.com/BiglyPrez/status/1000093428879888389
"Sam White",samwhiteout,2018-05-25 11:14,30,106,"Bad guy with a gun stopped by a good guy with a... tackle. #GunControlNow #NeverAgainhttps://twitter.com/ap/status/1000070737569505280 …",,,#GunControlNow #NeverAgainhttps,"1000077562922635264",https://twitter.com/samwhiteout/status/1000077562922635264
"oh k",kelsaroo_bowers,2018-05-25 09:02,7,24,"There have been 23 school shootings so far this year in which someone has been hurt or killed. Don't be surprised that it happened here. Until there's change, it will happen anywhere. #GunControlNOW",,,#GunControlNOW,"1000044378902155264",https://twitter.com/kelsaroo_bowers/status/1000044378902155264
