username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Falcon 9 Block 5",Falcon9Block5,2019-05-20 16:02,0,0,"Added some updates to my custom made @SpaceX #Starlink Mission Patch! #Falcon9 #SpaceX pic.twitter.com/CcAyuTZatW",,@SpaceX,#Starlink #Falcon9 #SpaceX,"1130609814898323457",https://twitter.com/Falcon9Block5/status/1130609814898323457
"Greg Pallone",gpallone13,2019-05-23 18:51,5,7,"NIGHT LAUNCH: @SpaceX hoping third time is the charm to launch #Falcon9 #Starlink mission. Live coverage @MyNews13 @bn9 at 10 pm. Window runs from 10:30 pm to midnight. Very windy here at Cape Canaveral AFS. @ashlinphotos06 pic.twitter.com/XT6u037wEj",,@SpaceX @MyNews13 @bn9 @ashlinphotos06,#Falcon9 #Starlink,"1131739414948929537",https://twitter.com/gpallone13/status/1131739414948929537
"OLHZN Space Balloons🎈🚀",OLHZN,2019-05-23 18:50,13,12,"#SpaceX #Starlink #Falcon9 Launch!! #Talk #Teach #News #Space @PeriscopeCo #Periscopehttps://www.pscp.tv/w/b7dFVDFNV0t3ZEdxd054amJ8MWdxeHZWTVhwT2p4QmidKarE8plaPi02DpN6pOzN7htCu7FIbu-RDlMikiQN …",,@PeriscopeCo,#SpaceX #Starlink #Falcon9 #Talk #Teach #News #Space #Periscopehttps,"1131739140293255168",https://twitter.com/OLHZN/status/1131739140293255168
"Chris G - NSF",ChrisG_NSF,2019-05-23 18:47,12,52,"Polling GO/NO GO for propellant load. #SpaceX #Starlink #Falcon9",,,#SpaceX #Starlink #Falcon9,"1131738455384440834",https://twitter.com/ChrisG_NSF/status/1131738455384440834
"Bryan Seely",Bryr32,2019-05-23 18:45,3,6,"Fabulous night for a rocket launch. Good luck #SpaceX !!! Go Heaviest payload on a Falcon 9 yet!!! #Falcon9 #Starlink",,,#SpaceX #Falcon9 #Starlink,"1131738030396583936",https://twitter.com/Bryr32/status/1131738030396583936
"James Sparvero",News6James,2019-05-23 18:45,4,9,"T-minus 45 minutes until #SpaceX #Falcon9 #Starlink launch from Cape Canaveral. Watch live on @news6wkmg and http://ClickOrlando.com @SpaceX @elonmusk pic.twitter.com/M40jFqElLy",,@news6wkmg @SpaceX @elonmusk,#SpaceX #Falcon9 #Starlink,"1131737998683512832",https://twitter.com/News6James/status/1131737998683512832
"Brevard EOC",BrevardEOC,2019-05-23 18:31,9,14,"5/23/19 | 9:30PM: At level 2 activation in support of @SpaceX #Falcon9 Starlink launch. WIndow: 10:30PM to Midnight. #CCAFS",,@SpaceX,#Falcon9 #CCAFS,"1131734447638892545",https://twitter.com/BrevardEOC/status/1131734447638892545
"Michael Baylor",nextspaceflight,2019-05-23 18:30,4,23,"T-1 hour until launch of #Falcon9 with 60 #Starlink internet satellites.",,,#Falcon9 #Starlink,"1131734083304771584",https://twitter.com/nextspaceflight/status/1131734083304771584
"Space Dashboard",SpaceDashboard,2019-05-23 17:08,0,0,"Tonight: launch attempt for @SpaceX #Falcon9 carrying 60 Starlink satellites, part a next-generation satellite network providing reliable and affordable broadband internet services globally. Scheduled for 02:30 UTC / 22:30 EDT. Watch live on http://SpaceDashboard.com pic.twitter.com/kFA0uFCBEB",,@SpaceX,#Falcon9,"1131713580645179393",https://twitter.com/SpaceDashboard/status/1131713580645179393
"Steve Weagle",SteveWeagleWPTV,2019-05-23 14:51,9,13,"#SpaceX #Falcon9 #launch with 60 Starlink satellites at 10:30pm tonight. The window is open for 90 minutes. #Starlink is a next-generation satellite network capable of connecting the globe, especially reaching those who are not yet connected, with reliable internet. @WPTV pic.twitter.com/icUW1U9F6D",,@WPTV,#SpaceX #Falcon9 #launch #Starlink,"1131679019399823361",https://twitter.com/SteveWeagleWPTV/status/1131679019399823361
