username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Cinderella #TeamPelosi👢❄️👢",Cinderella5280,2018-02-26 15:16,7,66,"Pretty sure we can start saying #TimesUp for these insane @GOP conservatives. Maybe someone should tell him that Delta took a discount away that they are free to do at anytime. pic.twitter.com/sf2jlyECrB",,@GOP,#TimesUp,"968263611528474624",https://twitter.com/Cinderella5280/status/968263611528474624
"Amber Tamblyn",ambertamblyn,2018-02-26 14:24,134,421,"Pay attention. It’s still happening all around us. #TIMESUP https://twitter.com/maxwelltani/status/968241246597734400 …",,,#TIMESUP,"968250416302579712",https://twitter.com/ambertamblyn/status/968250416302579712
"Khadijah Queen",authorKQ,2018-02-26 12:27,64,146,"PSA: Speaking up about predators in the lit world (or any other workplace) is not messy or unprofessional; ABUSE IS. Let’s use our imaginations to model true professionalism & create safer work environments. First step: listening. #MeToo #TimesUp #TheMoreYouKnow",,,#MeToo #TimesUp #TheMoreYouKnow,"968221029121146880",https://twitter.com/authorKQ/status/968221029121146880
"Ron Pyle",rreactor,2018-02-26 12:04,9,112,"So sexism is back in style again. I guess #Timesup",,,#Timesup,"968215199705653253",https://twitter.com/rreactor/status/968215199705653253
"Sybill Trelawney",ProfSybill,2018-02-26 11:45,33,46,"#PrincessComplicit @IvankaTrump is only in this for her own enrichment. She doesn’t give a fig about women and families. #TimesUp #FakeFeminist #Unqualifiedhttps://twitter.com/ananavarro/status/968166357618561028 …",,@IvankaTrump,#PrincessComplicit #TimesUp #FakeFeminist #Unqualifiedhttps,"968210415523053568",https://twitter.com/ProfSybill/status/968210415523053568
"MTV",MTV,2018-02-26 11:04,38,308,"Jennifer Lawrence is helming a #MeToo and #TIMESUP inspired TV series: http://on.mtv.com/2CgPiAJ pic.twitter.com/qd7uWYNbWY",,,#MeToo #TIMESUP,"968200092187529216",https://twitter.com/MTV/status/968200092187529216
"Sling the Mesh",MeshCampaign,2018-02-26 10:07,66,51,"We have 5,600 members of #slingthemesh yet #MHRA say its only had 1,279 complications logged in 10 years NATIONAL RECALL is only way to work out the true number of women suffering #jeremyhunt #patientsafety #timesup @OwenSmith_MP @EmmaHardyMP @SharonHodgsonMP @holly #meshrally",,@OwenSmith_MP @EmmaHardyMP @SharonHodgsonMP @holly,#slingthemesh #MHRA #jeremyhunt #patientsafety #timesup #meshrally,"968185696929370112",https://twitter.com/MeshCampaign/status/968185696929370112
"Vulture",vulture,2018-02-26 10:06,19,67,"#GoodGirls, the NBC series about three moms turned criminals, is #BreakingBad meets #TimesUp http://vult.re/2HPFX2e",,,#GoodGirls #BreakingBad #TimesUp,"968185467542884352",https://twitter.com/vulture/status/968185467542884352
"Current Affairs",curaffairs,2018-02-26 09:04,11,70,"looks like time’s already up on ivanka’s #timesup pic.twitter.com/QDOVHzk0XE",,,#timesup,"968169976170508292",https://twitter.com/curaffairs/status/968169976170508292
"Tracee Ellis Ross",TraceeEllisRoss,2018-02-26 08:47,51,350,"We stand with our sister @KarlaSouza7 and all the other Mexican women who have spoken out. #TimesUpMx #TimesUp",,@KarlaSouza7,#TimesUpMx #TimesUp,"968165752216854528",https://twitter.com/TraceeEllisRoss/status/968165752216854528
"Rachel Crooks for Ohio",RachelforOhio,2018-02-26 08:23,38,153,"I understand the unfortunate position someone would be in to have to admit their father is a misogynist and a sexual predator, but those who remain complicit in his actions are also part of the problem. #metoo #TimesUp https://secure.actblue.com/donate/rachel-crooks-for-ohio-1 …https://twitter.com/nbcnews/status/968132294308347904 …",,,#metoo #TimesUp,"968159517396668416",https://twitter.com/RachelforOhio/status/968159517396668416
"Mike P Williams",Mike_P_Williams,2018-02-26 07:26,30,93,"What a weak, pathetic, and cowardly reponse from @IvankaTrump. She’s totally complicit and has no place speaking for #MeToo or #TimesUp. https://twitter.com/todayshow/status/968103581944606720 …",,@IvankaTrump,#MeToo #TimesUp,"968145261016109057",https://twitter.com/Mike_P_Williams/status/968145261016109057
